feature	g_Acidaminococcus	g_Acinetobacter	g_Actinomyces	g_Adlercreutzia	g_Akkermansia	g_Alistipes	g_Anaerostipes	g_Atopobium	g_Bacteroides	g_Bifidobacterium	g_Bilophila	g_Blautia	g_Bradyrhizobium	g_Brevibacterium	g_Bulleidia	g_Butyricimonas	g_Catenibacterium	g_Citrobacter	g_Clostridium	g_Collinsella	g_Coprobacillus	g_Coprococcus	g_Desulfovibrio	g_Devosia	g_Dialister	g_Dorea	g_Eggerthella	g_Enhydrobacter	g_Enterobacter	g_Faecalibacterium	g_Fusobacterium	g_Haemophilus	g_Halomonas	g_Holdemania	g_Klebsiella	g_Lachnobacterium	g_Lachnospira	g_Lacticigenium	g_Lactobacillus	g_Leptothrix	g_Megamonas	g_Megasphaera	g_Methanobrevibacter	g_Methylobacterium	g_Ochrobactrum	g_Odoribacter	g_Oscillospira	g_Parabacteroides	g_Paraprevotella	g_Phascolarctobacterium	g_Prauseria	g_Prevotella	g_Pseudidiomarina	g_Pseudomonas	g_Ralstonia	g_Roseburia	g_SMB53	g_Sediminibacterium	g_Serratia	g_Sphingomonas	g_Staphylococcus	g_Streptococcus	g_Sutterella	g_Synergistes	g_Turicibacter	g_Veillonella	g_WAL_1855D	g_Eubacterium	g_Ruminococcus
G445302056	0	0.00686947988223749	0.00098135426889107	0	0.00098135426889107	0	0	0	0.00294406280667321	0	0	0.00196270853778214	0	0	0	0	0	0	0.00196270853778214	0	0	0.00098135426889107	0	0	0.00196270853778214	0	0	0	0	0.00098135426889107	0.00588812561334642	0.00785083415112856	0	0	0.0127576054955839	0	0	0.00098135426889107	0	0	0	0.00196270853778214	0	0	0.00294406280667321	0	0	0.00098135426889107	0	0.00098135426889107	0	0.00098135426889107	0	0	0	0	0	0	0	0	0	0.910696761530913	0	0	0	0.0333660451422964	0	0	0
G441802451	0	0.0107948969578018	0.00098135426889107	0	0.00098135426889107	0	0.00196270853778214	0	0.539744847890088	0.00196270853778214	0	0.00588812561334642	0.00098135426889107	0	0	0.00098135426889107	0	0	0.00588812561334642	0	0.00196270853778214	0.00588812561334642	0	0	0.00588812561334642	0.00098135426889107	0	0	0	0.167811579980373	0.00196270853778214	0	0.00098135426889107	0.00490677134445535	0	0	0.0117762512266928	0.00098135426889107	0	0	0.0392541707556428	0.00098135426889107	0.00098135426889107	0	0.00294406280667321	0	0.013738959764475	0.00883218842001963	0	0.0480863591756624	0	0.00588812561334642	0	0	0.00196270853778214	0.0353287536800785	0	0.00098135426889107	0	0.00098135426889107	0	0.0127576054955839	0.00098135426889107	0	0	0	0	0	0.0451422963689892
G441424152	0	0	0.0628066732090285	0	0.00392541707556428	0	0.00785083415112856	0.00196270853778214	0.0716388616290481	0.0098135426889107	0	0.0314033366045142	0.00392541707556428	0	0	0	0	0	0.0353287536800785	0	0	0.00392541707556428	0	0	0.0117762512266928	0.0323846908734053	0.00294406280667321	0	0	0.0431795878312071	0.00196270853778214	0	0	0	0	0.00098135426889107	0.00686947988223749	0.00883218842001963	0	0.00098135426889107	0	0.00392541707556428	0.00098135426889107	0	0	0	0	0	0	0.00098135426889107	0	0.0107948969578018	0	0	0.0098135426889107	0.00392541707556428	0	0.013738959764475	0	0	0	0.304219823356232	0.00196270853778214	0	0.00196270853778214	0.013738959764475	0	0.00392541707556428	0.280667320902846
G440205204	0	0	0	0	0	0	0	0	0.0225711481844946	0	0	0	0	0	0	0.00098135426889107	0.00883218842001963	0	0.00392541707556428	0	0	0.00294406280667321	0.00392541707556428	0	0	0.00294406280667321	0	0	0	0.0657507360157017	0.00196270853778214	0.0255152109911678	0	0	0.00196270853778214	0.00686947988223749	0.00196270853778214	0	0	0	0.00098135426889107	0.00294406280667321	0	0	0	0.00196270853778214	0.00098135426889107	0	0	0.0392541707556428	0	0.736997055937193	0	0	0.00196270853778214	0.00588812561334642	0	0	0	0	0	0.00588812561334642	0.014720314033366	0	0.00196270853778214	0.0245338567222767	0	0.00392541707556428	0.00588812561334642
G440981108	0	0.00392541707556428	0.00294406280667321	0	0.00392541707556428	0	0	0.00490677134445535	0.0196270853778214	0.00294406280667321	0.00196270853778214	0.0196270853778214	0.00196270853778214	0.00098135426889107	0	0.00098135426889107	0	0.00392541707556428	0.0372914622178607	0.00490677134445535	0	0.0107948969578018	0.00098135426889107	0	0.00098135426889107	0.00294406280667321	0	0	0.00686947988223749	0.0363101079489696	0.00490677134445535	0.00490677134445535	0.00294406280667321	0	0.255152109911678	0	0.00392541707556428	0.00196270853778214	0.014720314033366	0	0	0.00098135426889107	0.00098135426889107	0.00196270853778214	0.00196270853778214	0	0	0.00098135426889107	0	0.00098135426889107	0.00294406280667321	0.100098135426889	0	0.00392541707556428	0.00392541707556428	0.00098135426889107	0.00098135426889107	0.00196270853778214	0.00196270853778214	0	0	0.351324828263003	0	0	0.0117762512266928	0.00392541707556428	0	0.0382728164867517	0.00883218842001963
G440981067	0	0	0.00098135426889107	0.00098135426889107	0.0157016683022571	0	0	0	0.120706575073602	0.00392541707556428	0	0.0166830225711482	0.00294406280667321	0.00098135426889107	0	0	0	0	0.0166830225711482	0.00785083415112856	0	0.0598626104023552	0	0.00098135426889107	0.00196270853778214	0.00392541707556428	0.00196270853778214	0	0	0.535819430814524	0.00098135426889107	0.00098135426889107	0.00196270853778214	0	0.00392541707556428	0	0.00196270853778214	0.00098135426889107	0.00098135426889107	0	0.00098135426889107	0.00098135426889107	0.00490677134445535	0.00098135426889107	0.00098135426889107	0.00490677134445535	0.00490677134445535	0.00588812561334642	0	0.00196270853778214	0.00098135426889107	0.00490677134445535	0	0.00196270853778214	0.00196270853778214	0.0127576054955839	0.00588812561334642	0	0.00098135426889107	0	0.00098135426889107	0.0166830225711482	0	0	0.00098135426889107	0	0	0	0.115799803729146
G445302368	0.00588812561334642	0.00098135426889107	0.00098135426889107	0.00490677134445535	0	0	0	0	0.0912659470068695	0.141315014720314	0	0.0412168792934249	0	0	0	0	0	0	0.0402355250245339	0	0.00098135426889107	0.0264965652600589	0	0	0.00098135426889107	0.0323846908734053	0.00785083415112856	0	0	0.0117762512266928	0.00196270853778214	0	0	0.0157016683022571	0.00196270853778214	0.00098135426889107	0	0.00490677134445535	0.00098135426889107	0	0	0.00883218842001963	0	0.00098135426889107	0.00196270853778214	0.00098135426889107	0.00098135426889107	0.00294406280667321	0	0	0	0.00098135426889107	0	0	0	0	0	0.00098135426889107	0	0	0	0.32090284592738	0	0	0.00098135426889107	0.00294406280667321	0	0.00098135426889107	0.213935230618253
G441303473	0.0578999018645731	0.00098135426889107	0.014720314033366	0.00098135426889107	0.00196270853778214	0	0	0.00098135426889107	0.286555446516192	0	0.00098135426889107	0.0107948969578018	0.00294406280667321	0	0	0	0	0	0.0343473994111874	0	0.0343473994111874	0.00785083415112856	0	0	0	0.0157016683022571	0.00196270853778214	0	0	0.0098135426889107	0.00098135426889107	0	0	0.00098135426889107	0.0098135426889107	0	0.0117762512266928	0.00490677134445535	0	0	0	0	0	0	0	0	0.0157016683022571	0.00686947988223749	0	0.0196270853778214	0	0.00392541707556428	0	0	0.00098135426889107	0.028459273797841	0.00196270853778214	0.00294406280667321	0	0	0	0.217860647693817	0.00098135426889107	0.00098135426889107	0.00490677134445535	0	0	0.00686947988223749	0.175662414131501
G441303030	0	0.00098135426889107	0	0	0.525024533856722	0	0	0	0.0637880274779195	0.00098135426889107	0	0.013738959764475	0.00098135426889107	0	0	0	0	0	0.00490677134445535	0	0	0.0206084396467125	0	0	0.0117762512266928	0.00196270853778214	0	0	0	0.157998037291462	0	0	0	0	0.00294406280667321	0	0.00294406280667321	0.00196270853778214	0.00883218842001963	0	0.00098135426889107	0	0.00196270853778214	0	0	0	0.00490677134445535	0.00098135426889107	0	0.00294406280667321	0.00098135426889107	0.00785083415112856	0	0.00098135426889107	0.00196270853778214	0.0117762512266928	0.00098135426889107	0.00294406280667321	0	0.00098135426889107	0	0.102060843964671	0.00392541707556428	0.00098135426889107	0.00883218842001963	0.00098135426889107	0	0	0.0215897939156035
G440981034	0.0127576054955839	0	0	0.00098135426889107	0.00098135426889107	0	0.00098135426889107	0.00196270853778214	0.601570166830226	0.00785083415112856	0	0.0225711481844946	0.00196270853778214	0	0.00098135426889107	0.00785083415112856	0	0	0.0117762512266928	0.0647693817468106	0	0	0	0	0.0343473994111874	0.00490677134445535	0	0	0	0.0176643768400393	0.00294406280667321	0.00196270853778214	0	0	0.00196270853778214	0	0.00490677134445535	0.00196270853778214	0.00098135426889107	0	0.00196270853778214	0.00098135426889107	0	0	0	0	0.0176643768400393	0.0598626104023552	0	0.00098135426889107	0.00392541707556428	0.00294406280667321	0	0.00098135426889107	0.00196270853778214	0.0127576054955839	0	0.00098135426889107	0	0	0	0.00785083415112856	0	0	0.00785083415112856	0.00098135426889107	0	0.00098135426889107	0.0608439646712463
